Source,Words,Nodes,Fiedler(λ2),λ3,λ4,spectral gap
AI,103,89,0.162216,0.246,0.337532,0.0837831
AI,241,168,0.597824,0.641816,0.701516,0.0439921
AI,250,189,0.353834,0.492644,0.545214,0.138809
AI,243,177,0.521834,0.637211,0.696996,0.115377
AI,219,168,0.321432,0.418488,0.568143,0.0970561
AI,216,167,0.45842,0.511489,0.562946,0.0530691
AI,239,152,0.81948,0.897471,1.18849,0.0779917
AI,213,157,0.398131,0.599634,0.722705,0.201502
AI,227,148,0.567823,0.763318,1.10913,0.195495
AI,238,163,0.707796,0.735409,0.840604,0.0276132
AI,223,145,0.902357,0.972457,1.10792,0.0700993
AI,235,144,0.819106,0.895557,0.993238,0.0764508
AI,231,155,0.491436,0.666626,0.758749,0.17519
AI,228,161,0.623465,0.692757,0.737742,0.0692916
AI,213,145,0.914839,0.974035,1.0797,0.0591963
AI,218,163,0.487921,0.601447,0.67098,0.113526
AI,244,158,0.718039,0.77487,0.908455,0.0568308
AI,233,161,0.312268,0.600446,0.769592,0.288178
AI,220,157,0.336018,0.379052,0.596889,0.0430335
AI,219,149,0.574994,0.839953,0.967238,0.264958
AI,214,141,0.818081,0.850587,0.967228,0.032506
AI,205,151,0.365635,0.557404,0.653255,0.191769
AI,219,143,0.594317,0.697579,0.978774,0.103262
AI,238,131,0.582142,0.934842,1.25056,0.3527
AI,214,137,1.1116,1.26167,1.28574,0.150073
AI,175,122,0.753375,0.806193,0.979616,0.0528182
AI,226,142,0.713162,0.955264,1.15143,0.242102
AI,232,148,0.845731,0.947565,1.09773,0.101834
AI,241,154,0.62945,0.764202,0.950539,0.134752
AI,216,123,0.911164,1.04577,1.21197,0.134609
AI,242,154,0.886935,0.959511,1.04735,0.0725758
AI,223,153,0.495355,0.5412,0.754219,0.0458443
AI,248,164,0.614402,0.765059,0.883463,0.150657
AI,223,140,0.409745,0.713286,0.794323,0.303541
AI,226,155,0.634796,0.722117,0.893656,0.0873207
AI,241,151,0.671655,0.804718,0.970726,0.133064
AI,226,150,0.825928,0.867902,0.926535,0.0419745
AI,209,128,0.799328,0.997264,1.11059,0.197937
AI,206,136,0.812539,0.872802,1.06173,0.0602637
AI,230,140,0.940196,1.11767,1.26417,0.17747
AI,213,136,0.764119,0.823115,1.04513,0.0589966
AI,218,144,0.598188,0.823368,0.915339,0.22518
AI,241,153,0.762957,0.863938,0.963977,0.10098
AI,228,149,0.688605,0.78376,0.967834,0.0951545
AI,226,138,0.665885,0.959963,1.0132,0.294078
AI,232,151,0.556636,0.604951,0.7673,0.048315
AI,229,143,0.888289,0.905317,1.07205,0.0170282
AI,246,162,0.383731,0.67492,0.733591,0.291189
AI,230,134,0.993856,1.17914,1.2492,0.185285
AI,236,151,0.837584,0.969507,1.00578,0.131923
AI,232,163,0.381123,0.605836,0.700998,0.224712
AI,234,153,0.861746,0.972313,1.11288,0.110567
AI,243,161,0.579719,0.742126,0.797728,0.162407
